code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	pnns_groups_1	pnns_groups_2	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g
3274080005003	https://world.openfoodfacts.org/product/3274080005003	sientifix	1343503270	1489529159	Eau Cristaline	Eau de source naturelle	1,5 L	Bouteille,Plastique,bouteille	bouteille,plastique,bouteille	Cristaline	cristaline	Boissons,Boissons non sucrées,Boissons,Boissons non sucrées,Eaux,Eaux de sources	en:beverages,en:waters,en:non-sugared-beverages,en:spring-waters			France,Source Eleonore,Loire Atlantique	france,source-eleonore,loire-atlantique			EMB 44068A,EMB 59457	emb-44068a,emb-59457		guenrouet-loire-atlantique-france,perenchies-nord-france	France,Rennes	Carrefour	Belgique,France,Italie,Luxembourg,Mali,Martinique,Suisse	Eau de source.					1 l		0	 [ eau-de-source -> fr:eau-de-source  ]  [ eau-de -> fr:eau-de  ]  [ eau -> fr:eau  ] 		0			0			Beverages	Non-sugared beverages	en:spring-waters	https://static.openfoodfacts.org/images/products/327/408/000/5003/front_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/327/408/000/5003/front_fr.20.200.jpg	https://static.openfoodfacts.org/images/products/327/408/000/5003/front_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/327/408/000/5003/front_fr.20.200.jpg	https://static.openfoodfacts.org/images/products/327/408/000/5003/ingredients_fr.21.400.jpg	https://static.openfoodfacts.org/images/products/327/408/000/5003/ingredients_fr.21.200.jpg	https://static.openfoodfacts.org/images/products/327/408/000/5003/nutrition_fr.22.400.jpg	https://static.openfoodfacts.org/images/products/327/408/000/5003/nutrition_fr.22.200.jpg																																																																																										7.7						0	0		
3268840001008	https://world.openfoodfacts.org/product/3268840001008	vichenze	1337517352	1489449737	Eau de source	Eau de source	50 cl	Bouteille plastique	bouteille-plastique	Cristaline	cristaline	Beverages,Waters,Mineral waters,Non-sugared beverages,Spring waters	en:beverages,en:waters,en:mineral-waters,en:non-sugared-beverages,en:spring-waters	Sans nitrates	fr:sans-nitrates	Chambon-la-Forêt,France,Cairanne,Provence-Alpes-Côte d'Azur,Vaucluse	chambon-la-foret,france,cairanne,provence-alpes-cote-d-azur,vaucluse			EMB 44068A	emb-44068a		guenrouet-loire-atlantique-france	Villeurbanne,France	Sogeres	Belgium,France,Mali,Switzerland,United Kingdom	Eau							0	 [ eau -> fr:eau  ] 		0			0			Beverages	Non-sugared beverages	en:spring-waters	https://static.openfoodfacts.org/images/products/326/884/000/1008/front_en.68.400.jpg	https://static.openfoodfacts.org/images/products/326/884/000/1008/front_en.68.200.jpg	https://static.openfoodfacts.org/images/products/326/884/000/1008/front_en.68.400.jpg	https://static.openfoodfacts.org/images/products/326/884/000/1008/front_en.68.200.jpg	https://static.openfoodfacts.org/images/products/326/884/000/1008/ingredients_fr.25.400.jpg	https://static.openfoodfacts.org/images/products/326/884/000/1008/ingredients_fr.25.200.jpg	https://static.openfoodfacts.org/images/products/326/884/000/1008/nutrition_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/326/884/000/1008/nutrition_fr.9.200.jpg																																																																																																			
8002270014901	https://world.openfoodfacts.org/product/8002270014901	andre	1328993181	1490084214	Eau minérale gazeuse	Eau minérale gazeuse	1 L	Bouteille & bouchon plastique,Etiquette Papier,bouteille & bouchon plastique	bouteille-bouchon-plastique,etiquette-papier,bouteille-bouchon-plastique	San Pellegrino	san-pellegrino	Boissons,Boissons gazeuses,Eaux,Eaux minérales,Eaux gazeuses,Eaux minérales gazeuses,Boissons non sucrées	en:beverages,en:carbonated-drinks,en:waters,en:mineral-waters,en:carbonated-waters,en:carbonated-mineral-waters,en:non-sugared-beverages	Point Vert	en:green-dot	Italie	italie	Bergame	bergame					Aimargues,Marseille 5°	Carrefour,Intermarché,Système U,E.Leclerc,Auchan	France, en:belgium, en:switzerland, en:italy	Eau minérale naturelle avec adjonction de gaz carbonique .					1 l		0	 [ eau-minerale-naturelle-avec-adjonction-de-gaz-carbonique -> fr:eau-minerale-naturelle-avec-adjonction-de-gaz-carbonique  ]  [ eau-minerale-naturelle-avec-adjonction-de-gaz -> fr:eau-minerale-naturelle-avec-adjonction-de-gaz  ]  [ eau-minerale-naturelle-avec-adjonction-de -> fr:eau-minerale-naturelle-avec-adjonction-de  ]  [ eau-minerale-naturelle-avec-adjonction -> fr:eau-minerale-naturelle-avec-adjonction  ]  [ eau-minerale-naturelle-avec -> fr:eau-minerale-naturelle-avec  ]  [ eau-minerale-naturelle -> fr:eau-minerale-naturelle  ]  [ eau-minerale -> fr:eau-minerale  ]  [ eau -> fr:eau  ] 		0			0			Beverages	Non-sugared beverages	en:carbonated-mineral-waters	https://static.openfoodfacts.org/images/products/800/227/001/4901/front_fr.40.400.jpg	https://static.openfoodfacts.org/images/products/800/227/001/4901/front_fr.40.200.jpg	https://static.openfoodfacts.org/images/products/800/227/001/4901/front_fr.40.400.jpg	https://static.openfoodfacts.org/images/products/800/227/001/4901/front_fr.40.200.jpg	https://static.openfoodfacts.org/images/products/800/227/001/4901/ingredients_fr.26.400.jpg	https://static.openfoodfacts.org/images/products/800/227/001/4901/ingredients_fr.26.200.jpg	https://static.openfoodfacts.org/images/products/800/227/001/4901/nutrition_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/800/227/001/4901/nutrition_fr.20.200.jpg																																																																																																			
3057640229138	https://world.openfoodfacts.org/product/3057640229138	openfoodfacts-contributors	1388169231	1488054154	Eau Volvic	Eau minérale naturelle 	1,5 L	Bouteille,Plastique	bouteille,plastique	Volvic,Danone	volvic,danone	Boissons,Eaux,Eaux minérales,Boissons non sucrées	en:beverages,en:waters,en:mineral-waters,en:non-sugared-beverages			France	france							Rennes,France	Carrefour	Belgique,France,Mali,La Réunion,Suisse,Royaume-Uni	Eau minérale naturelle, Résidu sec à 180°C : 130 mg/l, PH : 7, Bouteille constituée à 20% d'origine végétale							0	 [ eau-minerale-naturelle -> fr:eau-minerale-naturelle  ]  [ eau-minerale -> fr:eau-minerale  ]  [ eau -> fr:eau  ]  [ residu-sec-a-180-c -> fr:residu-sec-a-180-c  ]  [ residu-sec-a-180 -> fr:residu-sec-a-180  ]  [ residu-sec-a -> fr:residu-sec-a  ]  [ residu-sec -> fr:residu-sec  ]  [ residu -> fr:residu  ]  [ 130-mg-l -> fr:130-mg-l  ]  [ 130-mg -> fr:130-mg  ]  [ 130 -> fr:130  ]  [ ph -> fr:ph  ]  [ 7 -> en:fd-c  ]  [ bouteille-constituee-a-20-d-origine-vegetale -> fr:bouteille-constituee-a-20-d-origine-vegetale  ]  [ bouteille-constituee-a-20-d-origine -> fr:bouteille-constituee-a-20-d-origine  ]  [ bouteille-constituee-a-20-d -> fr:bouteille-constituee-a-20-d  ]  [ bouteille-constituee-a-20 -> fr:bouteille-constituee-a-20  ]  [ bouteille-constituee-a -> fr:bouteille-constituee-a  ]  [ bouteille-constituee -> fr:bouteille-constituee  ]  [ bouteille -> fr:bouteille  ] 		0			0			Beverages	Non-sugared beverages	en:mineral-waters	https://static.openfoodfacts.org/images/products/305/764/022/9138/front_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/305/764/022/9138/front_fr.9.200.jpg	https://static.openfoodfacts.org/images/products/305/764/022/9138/front_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/305/764/022/9138/front_fr.9.200.jpg	https://static.openfoodfacts.org/images/products/305/764/022/9138/ingredients_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/305/764/022/9138/ingredients_fr.10.200.jpg	https://static.openfoodfacts.org/images/products/305/764/022/9138/nutrition_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/305/764/022/9138/nutrition_fr.11.200.jpg	0		0	0																																			0	0									0	0				0.0029464	0.00116																	0.00317	0.0071	0.00062	0.00135	0.00115			0.0008																	0	0		
3068320099651	https://world.openfoodfacts.org/product/3068320099651	openfoodfacts-contributors	1366132699	1488053757	Evian	Eau minérale	50 cl	bouteille plastique	bouteille-plastique	Évian	evian	Boissons,Eaux,Eaux minérales,Eaux minérales naturelles,Boissons non sucrées	en:beverages,en:waters,en:mineral-waters,en:natural-mineral-waters,en:non-sugared-beverages			Source Cachat Bron,Evian,France	source-cachat-bron,evian,france							Toulouse,France	Carrefour	France, en:switzerland, en:belgium, en:united-kingdom	eau minérale							0	 [ eau-minerale -> fr:eau-minerale  ]  [ eau -> fr:eau  ] 		0			0			Beverages	Non-sugared beverages	en:natural-mineral-waters	https://static.openfoodfacts.org/images/products/306/832/009/9651/front_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/306/832/009/9651/front_fr.7.200.jpg	https://static.openfoodfacts.org/images/products/306/832/009/9651/front_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/306/832/009/9651/front_fr.7.200.jpg	https://static.openfoodfacts.org/images/products/306/832/009/9651/ingredients_fr.13.400.jpg	https://static.openfoodfacts.org/images/products/306/832/009/9651/ingredients_fr.13.200.jpg	https://static.openfoodfacts.org/images/products/306/832/009/9651/nutrition_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/306/832/009/9651/nutrition_fr.8.200.jpg																																																						0.001651	0.00065																	0.0015	0.036	0.0001	0.00068	0.008			0.0026																				
3048431004041	https://world.openfoodfacts.org/product/3048431004041	openfoodfacts-contributors	1356438616	1488054131	Hépar	Eau minérale naturelle	1 L	Bouteille,Plastique	bouteille,plastique	Hépar,Nestlé	hepar,nestle	Boissons,Eaux,Eaux minérales,Boissons non sucrées	en:beverages,en:waters,en:mineral-waters,en:non-sugared-beverages			France,Vosges	france,vosges							Saint Laurent du Maroni,Guyane française,France	Super U,Intermarché	Belgique,France,Guyane	Eau minérale naturelle ;  Résidu sec à 180°C : 2513 mg/l ;  pH : 7,2 .  					1L		0	 [ eau-minerale-naturelle -> fr:eau-minerale-naturelle  ]  [ eau-minerale -> fr:eau-minerale  ]  [ eau -> fr:eau  ]  [ residu-sec-a-180-c -> fr:residu-sec-a-180-c  ]  [ residu-sec-a-180 -> fr:residu-sec-a-180  ]  [ residu-sec-a -> fr:residu-sec-a  ]  [ residu-sec -> fr:residu-sec  ]  [ residu -> fr:residu  ]  [ 2513-mg-l -> fr:2513-mg-l  ]  [ 2513-mg -> fr:2513-mg  ]  [ 2513 -> fr:2513  ]  [ ph -> fr:ph  ]  [ 7 -> en:fd-c  ]  [ 2 -> en:fd-c  ] 		0			0			Beverages	Non-sugared beverages	en:mineral-waters	https://static.openfoodfacts.org/images/products/304/843/100/4041/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/304/843/100/4041/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/304/843/100/4041/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/304/843/100/4041/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/304/843/100/4041/ingredients_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/304/843/100/4041/ingredients_fr.8.200.jpg	https://static.openfoodfacts.org/images/products/304/843/100/4041/nutrition_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/304/843/100/4041/nutrition_fr.9.200.jpg																																																																																																			
7613034688903	https://world.openfoodfacts.org/product/7613034688903	openfoodfacts-contributors	1400505878	1480085422	Hépar	Eau minérale naturelle riche en minéraux	1 l	Bouteille,Plastique	bouteille,plastique	Vittel,Hépar,Nestlé	vittel,hepar,nestle	Boissons,Eaux,Boissons non sucrées,Eaux minérales naturelles	en:beverages,en:waters,en:mineral-waters,en:natural-mineral-waters,en:non-sugared-beverages			Source Hépar,Vosges	source-hepar,vosges	Vittel	vittel					Annemasse,France	Monoprix	France, en:switzerland, en:belgium	Eaux minérale naturelle, minéraux.					1 l		0	 [ eaux-minerale-naturelle -> fr:eaux-minerale-naturelle  ]  [ eaux-minerale -> fr:eaux-minerale  ]  [ eaux -> fr:eaux  ]  [ mineraux -> fr:mineraux  ] 		0			0			Beverages	Non-sugared beverages	en:natural-mineral-waters	https://static.openfoodfacts.org/images/products/761/303/468/8903/front_fr.6.400.jpg	https://static.openfoodfacts.org/images/products/761/303/468/8903/front_fr.6.200.jpg	https://static.openfoodfacts.org/images/products/761/303/468/8903/front_fr.6.400.jpg	https://static.openfoodfacts.org/images/products/761/303/468/8903/front_fr.6.200.jpg	https://static.openfoodfacts.org/images/products/761/303/468/8903/ingredients_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/761/303/468/8903/ingredients_fr.9.200.jpg	https://static.openfoodfacts.org/images/products/761/303/468/8903/nutrition_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/761/303/468/8903/nutrition_fr.10.200.jpg																																																								0																																											
3068320080000	https://world.openfoodfacts.org/product/3068320080000	openfoodfacts-contributors	1366890074	1486808073	Évian		1 L	bouteille plastique	bouteille-plastique	Evian	evian	Boissons,Boissons non sucrées,Boissons,Boissons non sucrées,Eaux,Eaux minérales,Eaux minérales naturelles	en:beverages,en:waters,en:mineral-waters,en:natural-mineral-waters,en:non-sugared-beverages			France	france			SO UR EC CACHAN	so-ur-ec-cachan				Carrefour	Belgique,France,Suisse	Eau minérale naturelle.					1 l		0	 [ eau-minerale-naturelle -> fr:eau-minerale-naturelle  ]  [ eau-minerale -> fr:eau-minerale  ]  [ eau -> fr:eau  ] 		0			0			Beverages	Non-sugared beverages	en:natural-mineral-waters	https://static.openfoodfacts.org/images/products/306/832/008/0000/front_fr.45.400.jpg	https://static.openfoodfacts.org/images/products/306/832/008/0000/front_fr.45.200.jpg	https://static.openfoodfacts.org/images/products/306/832/008/0000/front_fr.45.400.jpg	https://static.openfoodfacts.org/images/products/306/832/008/0000/front_fr.45.200.jpg	https://static.openfoodfacts.org/images/products/306/832/008/0000/ingredients_fr.40.400.jpg	https://static.openfoodfacts.org/images/products/306/832/008/0000/ingredients_fr.40.200.jpg	https://static.openfoodfacts.org/images/products/306/832/008/0000/nutrition_fr.42.400.jpg	https://static.openfoodfacts.org/images/products/306/832/008/0000/nutrition_fr.42.200.jpg																																																																																																			
3179732348913	https://world.openfoodfacts.org/product/3179732348913	andre	1332522732	1486507496	Perrier	Eau minérale naturelle renforcée au gaz de source	1 L	Bouteille,Plastique 01 (PETE),Bouchon,Plastique	bouteille,plastique-01-pete,bouchon,plastique	Perrier,Nestlé	perrier,nestle	Boissons,Boissons gazeuses,Eaux,Eaux minérales,Eaux minérales gazeuses,Eaux gazeuses,Boissons non sucrées	en:beverages,en:carbonated-drinks,en:waters,en:mineral-waters,en:carbonated-waters,en:carbonated-mineral-waters,en:non-sugared-beverages	Point Vert,Eco-Emballages	en:green-dot,fr:eco-emballages			Nestlé Waters Supply Sud (NWS Sud) - Lieu dit Les Bouillens - 30310 Vergèze,Gard,Languedoc-Roussillon,France	nestle-waters-supply-sud-nws-sud-lieu-dit-les-bouillens-30310-vergeze,gard,languedoc-roussillon,france					Villers Bocage 80260,France	U,Banque alimentaire	France, en:belgium, en:switzerland	Eau minérale, gaz de source.  Minéralisation caractéristique en mg/litre : Ca2+ : 160 - Mg2+ : 4,2 - Na+ : 9,5 - HCO3- : 430 - SO42- : 33 - Cl- : 22 - K+ : &lt; 1 - NO3- : 7,8 - Résidu sec à 180°C : 480 mg/L.    							0	 [ eau-minerale -> fr:eau-minerale  ]  [ eau -> fr:eau  ]  [ gaz-de-source-mineralisation-caracteristique-en-mg-litre -> fr:gaz-de-source-mineralisation-caracteristique-en-mg-litre  ]  [ gaz-de-source-mineralisation-caracteristique-en-mg -> fr:gaz-de-source-mineralisation-caracteristique-en-mg  ]  [ gaz-de-source-mineralisation-caracteristique-en -> fr:gaz-de-source-mineralisation-caracteristique-en  ]  [ gaz-de-source-mineralisation-caracteristique -> fr:gaz-de-source-mineralisation-caracteristique  ]  [ gaz-de-source-mineralisation -> fr:gaz-de-source-mineralisation  ]  [ gaz-de-source -> fr:gaz-de-source  ]  [ gaz-de -> fr:gaz-de  ]  [ gaz -> fr:gaz  ]  [ ca2 -> fr:ca2  ]  [ 160 -> fr:160  ]  [ mg2 -> fr:mg2  ]  [ 4 -> en:fd-c  ]  [ 2 -> en:fd-c  ]  [ na -> fr:na  ]  [ 9 -> en:fd-c  ]  [ 5 -> en:fd-c  ]  [ hco3 -> fr:hco3  ]  [ 430 -> fr:430  ]  [ so42 -> fr:so42  ]  [ 33 -> fr:33  ]  [ cl -> fr:cl  ]  [ 22 -> fr:22  ]  [ k -> fr:k  ]  [ lt -> fr:lt  ]  [ 1 -> en:fd-c  ]  [ no3 -> en:fd-c  ]  [ 7 -> en:fd-c  ]  [ 8 -> en:fd-c  ]  [ residu-sec-a-180-c -> fr:residu-sec-a-180-c  ]  [ residu-sec-a-180 -> fr:residu-sec-a-180  ]  [ residu-sec-a -> fr:residu-sec-a  ]  [ residu-sec -> fr:residu-sec  ]  [ residu -> fr:residu  ]  [ 480-mg-l -> fr:480-mg-l  ]  [ 480-mg -> fr:480-mg  ]  [ 480 -> fr:480  ] 		0			0			Beverages	Non-sugared beverages	en:carbonated-mineral-waters	https://static.openfoodfacts.org/images/products/317/973/234/8913/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/317/973/234/8913/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/317/973/234/8913/front_fr.4.400.jpg	https://static.openfoodfacts.org/images/products/317/973/234/8913/front_fr.4.200.jpg	https://static.openfoodfacts.org/images/products/317/973/234/8913/ingredients_fr.17.400.jpg	https://static.openfoodfacts.org/images/products/317/973/234/8913/ingredients_fr.17.200.jpg	https://static.openfoodfacts.org/images/products/317/973/234/8913/nutrition_fr.18.400.jpg	https://static.openfoodfacts.org/images/products/317/973/234/8913/nutrition_fr.18.200.jpg																																																						0.002413	0.00095																			0.0001	0.0022	0.016			0.00042																				
3068320115160	https://world.openfoodfacts.org/product/3068320115160	openfoodfacts-contributors	1460570484	1488386882	La Salvetat	Eau	1.25 litre			La Salvetat	la-salvetat	Boissons,Eaux,Eaux minérales,Eaux minérales naturelles,Boissons non sucrées	en:beverages,en:waters,en:mineral-waters,en:natural-mineral-waters,en:non-sugared-beverages													France																	Beverages	Non-sugared beverages	en:natural-mineral-waters	https://static.openfoodfacts.org/images/products/306/832/011/5160/front_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/306/832/011/5160/front_fr.20.200.jpg	https://static.openfoodfacts.org/images/products/306/832/011/5160/front_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/306/832/011/5160/front_fr.20.200.jpg	https://static.openfoodfacts.org/images/products/306/832/011/5160/ingredients_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/306/832/011/5160/ingredients_fr.11.200.jpg	https://static.openfoodfacts.org/images/products/306/832/011/5160/nutrition_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/306/832/011/5160/nutrition_fr.10.200.jpg	0		0	0																																			0	0									0	0				0.00127	0.0005																																									0	0		
