Parameter,Eenheid,APR 2016,MEI 2016,JUN 2016,JUL 2016,AUG 2016,SEP 2016,OKT 2016,NOV 2016,DEC 2016,JAN 2017,FEB 2017,MRT 2017,Gemiddeld
Temperatuur,°C,"10,5","13,5","17,2","18,8","19,2","19,8","16,2","11,4","8,7","6,6","6,5","7,9","13,3"
Zuurstof,mg/l O2,10,"8,9","8,2","7,2","7,3","6,9","7,8","9,2","10,2","10,7","11,1","10,2","8,9"
Troebeling,FTE,"<0,05","<0,05","<0,05","<0,05","<0,05","<0,10","<0,10","<0,05","<0,05","<0,05","<0,10","<0,05","<0,10"
Geur,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Smaak,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Zuurgraad,pH,"8,09","8,06","7,98",8,"8,01","7,97","7,97","7,91","7,94","8,03","7,95","8,05",8
Verzadigingsindex,SI,"0,47","0,43","0,3","0,28","0,34","0,28","0,3","0,21","0,24","0,39","0,26","0,51","0,34"
Geleidingsvermogen 20°C,mS/m,"45,5","44,9",43,"43,2","43,6","42,8","43,7",44,"45,5","47,5",48,"48,1","44,8"
Waterstofcarbonaat,mg/l HCO3,181,187,163,158,167,152,157,146,152,174,150,215,168
Chloride,mg/l Cl,"51,8","48,3","49,3",46,"45,4","47,8",49,"51,9","53,7","55,5","59,6","54,6","50,9"
Sulfaat,mg/l SO4,38,32,37,35,34,40,40,43,43,41,50,33,38
Natrium,mg/l Na,45,42,38,39,36,35,36,35,41,50,48,52,41
Calcium,mg/l Ca,47,46,47,45,47,48,49,51,48,47,50,50,48
Magnesium,mg/l Mg,8,"7,4","7,3","7,5","7,5","6,9","7,5",8,"7,8","8,3","8,5","8,9","7,7"
Totale hardheid,mmol/l,"1,55","1,44","1,44","1,38","1,43","1,48","1,54","1,55","1,52","1,55","1,59","1,61","1,5"
Ammonium,mg/l NH4,"<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","0,05","<0,03","<0,03"
Nitraat,mg/l NO3,"10,2","9,8","10,2",9,"8,4","8,9",8,"8,4","9,6","8,6","9,9","8,8","9,2"
IJzer,μg/l Fe,<10,<10,<10,<10,<10,<10,<10,<5,<5,<5,<5,<5,<10
Aluminium,μg/l Al,<5,<5,<5,<5,5,<5,2,2,"<1,2","<1,2",12,1,<5
Fluoride,mg/l F,"0,15","0,14","0,14","0,14","0,14","0,17","0,18","0,16","0,17","0,13","0,17","0,17","0,15"
Kleurintensiteit (Pt/Co-schaal),mg/l Pt,5,4,<2,3,3,2,3,2,3,4,4,4,3
Trihalomethanen (som),μg/l,"3,7","2,7","2,2","1,4","1,6","1,8","2,2","2,9","2,9","2,1","1,9","1,8","2,3"
Bacteriën van de coligroep,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Escherichia coli,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Enterococcen,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Clostridium perf. (incl sporen),KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
