Parameter,Eenheid,APR 2016,MEI 2016,JUN 2016,JUL 2016,AUG 2016,SEP 2016,OKT 2016,NOV 2016,DEC 2016,JAN 2017,FEB 2017,MRT 2017,Gemiddeld
Temperatuur,°C,"9,8","13,2","17,7","19,6","20,5","20,8","16,3",11,"7,5","4,8","4,4","6,1","13,2"
Zuurstof,mg/l O2,"9,9","8,2","6,2","7,2","7,1","7,1","7,4","8,8","10,1",11,"11,5","10,9","8,6"
Troebeling,FTE,"<0,05","<0,05","<0,05","0,03","0,03","0,03","0,03","0,02","0,02","0,01","0,02","0,03","<0,05"
Geur,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Smaak,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Zuurgraad,pH,"7,98","8,05","8,02","8,05","8,07","7,88","7,93","7,95","7,96","7,91","7,9","7,94","7,98"
Verzadigingsindex,SI,"0,21","0,21","0,32","0,3","0,33","0,18","0,24","0,21","0,19","0,14","0,11","0,2","0,23"
Geleidingsvermogen 20°C,mS/m,43,42,"43,1","41,4","41,4","42,5","43,2","43,5","44,4","46,2","47,3","47,5","43,5"
Waterstofcarbonaat,mg/l HCO3,121,117,139,141,138,146,142,130,128,125,123,118,131
Chloride,mg/l Cl,"54,7","53,8","51,2","51,1",48,"49,5","52,5","55,8","58,1","60,4","62,8","45,1","53,2"
Sulfaat,mg/l SO4,48,46,45,43,42,42,44,46,50,54,56,57,47
Natrium,mg/l Na,33,36,36,35,33,33,33,34,36,38,40,43,36
Calcium,mg/l Ca,50,44,51,45,48,49,51,51,47,49,48,56,49
Magnesium,mg/l Mg,"6,8","6,6","7,1","6,7","6,9","7,2","7,3","7,6","7,4","7,8","7,8","8,5","7,3"
Totale hardheid,mmol/l,"1,52","1,38","1,57","1,4","1,48","1,51","1,58","1,57","1,49","1,55","1,53",-,"1,5"
Ammonium,mg/l NH4,"<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","0,06","0,05","<0,03"
Nitraat,mg/l NO3,"12,3","11,4","11,8","10,8","8,9","9,8","9,1","8,6","9,5","9,5","10,7","13,5","10,4"
IJzer,μg/l Fe,<10,<10,<10,<10,<10,<10,<10,<5,<5,<5,<5,<5,<10
Aluminium,μg/l Al,<5,<5,6,<5,<5,<5,6,2,2,1,"<1,2",2,<5
Fluoride,mg/l F,"0,19","0,19","0,19","0,18","0,17","0,19","0,17","0,2","0,21","0,18","0,18","0,18","0,18"
Kleurintensiteit (Pt/Co-schaal),mg/l Pt,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2
Trihalomethanen (som),μg/l,"3,4","3,6",3,"2,7","2,6","2,5","2,5",3,3,"2,5","2,1","2,3","2,8"
Bacteriën van de coligroep,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Escherichia coli,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Enterococcen,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Clostridium perf. (incl sporen),KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
