Parameter,Eenheid,APR 2016,MEI 2016,JUN 2016,JUL 2016,AUG 2016,SEP 2016,OKT 2016,NOV 2016,DEC 2016,JAN 2017,FEB 2017,MRT 2017,Gemiddeld
Temperatuur,°C,"9,4","13,1","16,8","18,8","19,9","20,5",17,12,"8,9","6,8","5,6","6,9","13,6"
Zuurstof,mg/l O2,"10,2","8,4","7,1","6,4","5,8","5,4","8,3","9,2","10,6","11,1","11,6","10,5","8,5"
Troebeling,FTE,"<0,05","<0,05","<0,05","<0,05","<0,05","<0,10","<0,10","<0,05","<0,05","<0,05","<0,10","<0,05","<0,10"
Geur,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Smaak,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Zuurgraad,pH,"8,2","8,19","8,22","8,25","8,28","8,28","8,25","8,21","8,18","8,14","8,15","8,17","8,21"
Verzadigingsindex,SI,"0,46","0,45","0,5","0,49","0,55","0,59","0,56","0,5","0,44","0,39","0,4","0,45","0,48"
Geleidingsvermogen 20°C,mS/m,"44,5",43,"43,8","42,4","42,2","43,2",44,"44,6","46,4","48,1","48,2","46,5","44,6"
Waterstofcarbonaat,mg/l HCO3,135,136,140,134,137,144,143,133,129,127,129,131,135
Chloride,mg/l Cl,"48,9","47,2","45,3","44,5","41,9","43,5","45,2","49,5",53,"54,4",57,"53,2","48,1"
Sulfaat,mg/l SO4,59,53,53,56,56,56,62,58,72,78,77,65,62
Natrium,mg/l Na,37,38,35,34,34,36,34,36,40,41,47,41,38
Calcium,mg/l Ca,49,48,50,47,48,51,51,53,51,52,51,53,50
Magnesium,mg/l Mg,"6,6","6,6","7,1","6,8",7,"7,4","7,1","7,2","7,6",8,"7,8",8,"7,3"
Totale hardheid,mmol/l,"1,54","1,42","1,59","1,45","1,53","1,65","1,59","1,57","1,64","1,72","1,57","1,76","1,58"
Ammonium,mg/l NH4,"<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03"
Nitraat,mg/l NO3,"12,6","11,5","12,9","11,8","9,3","8,7","9,3","5,7","9,8",10,"11,5","6,8","9,9"
IJzer,μg/l Fe,<10,<10,<10,<10,<10,<10,<5,<5,<5,<5,<5,<5,<10
Aluminium,μg/l Al,6,8,10,11,11,15,11,8,10,5,5,8,9
Fluoride,mg/l F,"0,16","0,17","0,16","0,16","0,13","0,16","0,13","0,18","0,18","0,14","0,14","0,14","0,15"
Kleurintensiteit (Pt/Co-schaal),mg/l Pt,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2
Trihalomethanen (som),μg/l,"4,8",4,"2,6","2,7","2,8","2,8",4,"3,9","3,6","2,6","1,9","1,3","3,2"
Bacteriën van de coligroep,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Escherichia coli,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Enterococcen,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Clostridium perf. (incl sporen),KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
