Parameter,Eenheid,APR 2016,MEI 2016,JUN 2016,JUL 2016,AUG 2016,SEP 2016,OKT 2016,NOV 2016,DEC 2016,JAN 2017,FEB 2017,MRT 2017,Gemiddeld
Temperatuur,°C,"12,9","12,4","12,9",13,"13,9","14,7","14,3","13,3",15,"13,6",13,"12,5","13,5"
Zuurstof,mg/l O2,"8,2","8,7","8,6","8,7","8,4","8,4",8,"7,8","7,6","7,9","8,1","8,4","8,2"
Troebeling,FTE,"<0,05","<0,05","<0,05","<0,05","<0,05","<0,10","<0,10","<0,05","<0,05","<0,05","<0,10","<0,05","<0,10"
Geur,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Smaak,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Zuurgraad,pH,"7,71","7,74","7,73","7,77","7,77","7,74","7,72","7,67","7,66","7,66","7,7","7,69","7,71"
Verzadigingsindex,SI,"0,28","0,29","0,29","0,33","0,33","0,28","0,32","0,28","0,28","0,24","0,34","0,29","0,3"
Geleidingsvermogen 20°C,mS/m,"64,3",62,"60,8","58,2","56,6",56,"56,6","58,7","57,8","61,1","63,6","65,6","59,8"
Waterstofcarbonaat,mg/l HCO3,197,194,194,195,194,195,196,201,194,192,196,196,196
Chloride,mg/l Cl,"97,8","89,6","86,7","78,1","75,7","74,8","75,4","85,3","82,4","87,6",95,"96,6","85,1"
Sulfaat,mg/l SO4,57,53,54,51,49,47,48,56,53,56,59,58,53
Natrium,mg/l Na,49,48,48,43,41,41,39,51,44,48,50,50,46
Calcium,mg/l Ca,74,75,76,71,70,70,71,79,71,76,79,78,74
Magnesium,mg/l Mg,"8,9","9,4","8,7","9,2","8,5","8,8","9,1","6,6","9,3","9,5",10,"9,8","8,7"
Totale hardheid,mmol/l,"2,21","2,25","2,26","2,15","2,09","2,11","2,14","2,24","2,16","2,28","2,38","2,34","2,21"
Ammonium,mg/l NH4,"<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03"
Nitraat,mg/l NO3,"5,5","5,4","6,1","5,7","4,7","4,4","3,8","2,4","4,1","4,3","5,1","5,2","4,5"
IJzer,μg/l Fe,<10,<10,<10,<10,<10,<10,<10,<5,<5,<5,<5,<5,<10
Aluminium,μg/l Al,-,<5,-,-,<5,-,-,5,-,-,4,-,<5
Fluoride,mg/l F,"0,11","0,11","0,13","0,13","0,13","0,13","0,14","0,1","0,12","0,11","0,11","0,11","0,12"
Kleurintensiteit (Pt/Co-schaal),mg/l Pt,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2
Bacteriën van de coligroep,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Escherichia coli,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Enterococcen,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Clostridium perf. (incl sporen),KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
