Parameter,Eenheid,APR 2016,MEI 2016,JUN 2016,JUL 2016,AUG 2016,SEP 2016,OKT 2016,NOV 2016,DEC 2016,JAN 2017,FEB 2017,MRT 2017,Gemiddeld
Temperatuur,°C,"12,1","12,2","12,8",13,"13,1","12,9","12,8","12,2","11,5","11,8","11,9","11,9","12,4"
Zuurstof,mg/l O2,"9,7",10,"9,8",10,"9,6","9,6","9,9","9,6","9,9","9,8","9,7","9,6","9,8"
Troebeling,FTE,"<0,05","<0,05","<0,05","<0,05","<0,05","<0,10","<0,10","<0,05","<0,05","<0,05","<0,10","<0,05","<0,10"
Geur,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Smaak,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Zuurgraad,pH,"7,77","7,84","7,81","7,81","7,85","7,82","7,81","7,87","7,84","7,83","7,81","7,84","7,83"
Verzadigingsindex,SI,"0,24","0,26","0,23","0,23","0,15","0,19","0,21","0,56","0,47","0,25","0,27","0,28","0,28"
Geleidingsvermogen 20°C,mS/m,"33,9","33,4","33,8","33,5","30,2","32,6",33,"42,6",40,"32,1",33,"32,5","34,3"
Waterstofcarbonaat,mg/l HCO3,179,170,166,175,148,160,164,248,231,169,179,169,181
Chloride,mg/l Cl,-,"18,6",-,-,-,-,-,"23,4",-,-,-,-,21
Sulfaat,mg/l SO4,-,27,-,-,-,-,-,20,-,-,-,-,23
Natrium,mg/l Na,-,17,-,-,-,-,-,27,-,-,-,-,22
Calcium,mg/l Ca,58,52,54,51,46,50,52,70,66,53,56,56,55
Magnesium,mg/l Mg,"3,9","3,8","3,9","3,8","3,9","3,8","3,8",4,"3,9","3,9","3,8","4,1","3,9"
Totale hardheid,mmol/l,"1,6","1,46","1,51","1,43","1,3","1,39","1,46","1,9","1,8","1,49","1,55","1,56","1,54"
Ammonium,mg/l NH4,"<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03"
Nitraat,mg/l NO3,-,"2,2",-,-,-,-,-,"2,5",-,-,-,-,"2,4"
IJzer,μg/l Fe,<10,15,14,<10,120,<10,8,11,<5,12,<10,<10,20
Aluminium,μg/l Al,-,<5,-,-,-,-,-,"<1,2",-,-,-,-,<5
Fluoride,mg/l F,-,"0,08",-,-,-,-,-,"0,08",-,-,-,-,"0,08"
Kleurintensiteit (Pt/Co-schaal),mg/l Pt,7,7,7,7,7,7,7,7,8,7,7,7,7
Bacteriën van de coligroep,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Escherichia coli,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Clostridium perf. (incl sporen),KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
