Parameter,Eenheid,APR 2016,MEI 2016,JUN 2016,JUL 2016,AUG 2016,SEP 2016,OKT 2016,NOV 2016,DEC 2016,JAN 2017,FEB 2017,MRT 2017,Gemiddeld
Temperatuur,°C,"11,4","11,8",12,"11,7","12,1","12,3","11,8","11,6","11,3","11,1","11,2","11,3","11,6"
Zuurstof,mg/l O2,"8,7","8,9","8,9","8,9","9,1","8,7",9,"9,2","9,1","9,2","8,7","8,7","8,9"
Troebeling,FTE,"<0,05","<0,05","<0,05","<0,05","<0,10","<0,10","<0,05","<0,05","<0,05","<0,10","<0,05","<0,05","<0,05"
Geur,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.
Smaak,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen. afw.
Zuurgraad,pH,"7,81","7,81","7,78","7,82","7,84","7,89","7,93","7,94","7,95","7,98","7,89","7,90","7,88"
Verzadigingsindex,SI,"0,35","0,35","0,34","0,34","0,36","0,38","0,43","0,45","0,45","0,46","0,42","0,44","0,40"
Geleidingsvermogen 20°C,mS/m,"41,8","41,9","42,1",42,"41,5","40,6","40,1",40,"39,9","39,9","40,6","40,6","40,9"
Waterstofcarbonaat,mg/l HCO3,222,222,224,225,220,215,214,215,219,213,221,217,219
Chloride,mg/l Cl,-,29,-,-,30,-,-,27,-,-,27,-,28
Sulfaat,mg/l SO4,-,25,-,-,24,-,-,20,-,-,24,-,23
Natrium,mg/l Na,-,38,-,-,38,-,-,38,-,-,34,-,37
Calcium,mg/l Ca,56,55,58,53,54,51,52,53,52,50,54,57,54
Magnesium,mg/l Mg,"3,9","3,8","3,8","3,7","3,8",4,"4,1","4,1","4,2","4,2","4,1","4,3","4,0"
Totale hardheid,mmol/l,"1,55","1,52","1,61","1,46","1,50","1,44","1,46","1,48","1,47","1,43","1,53","1,54","1,50"
Ammonium,mg/l NH4,"<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03"
Nitraat,mg/l NO3,-,2,-,-,"1,9",-,-,"2,2",-,-,"1,8",-,"2,0"
IJzer,μg/l Fe,<10,<10,<10,<10,<10,<10,6,8,7,6,6,6,7
Aluminium,μg/l Al,-,<5,-,-,<5,-,-,<5,-,-,6,-,<5
Fluoride,mg/l F,-,"0,07",-,-,"0,12",-,-,"0,08",-,-,"0,08",-,"0,09"
Kleurintensiteit (Pt/Co-schaal),mg/l Pt,6,6,6,6,6,6,7,7,7,6,6,6,6
Bacteriën van de coligroep,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Escherichia coli,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Clostridium perf. (incl sporen),KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
