Parameter,Eenheid,APR 2016,MEI 2016,JUN 2016,JUL 2016,AUG 2016,SEP 2016,OKT 2016,NOV 2016,DEC 2016,JAN 2017,FEB 2017,MRT 2017,Gemiddeld
Temperatuur,°C,"11,1","11,3",13,"13,4","15,3","16,1","15,4","14,2","12,1","9,4","9,2","9,8","12,7"
Zuurstof,mg/l O2,"<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05","<0,05"
Troebeling,FTE,"<0,05","<0,05","<0,05","<0,05","<0,05","<0,10","<0,10","<0,05","<0,05","<0,05","<0,10","<0,05","<0,10"
Geur,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Smaak,-,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,geen afw.,-
Zuurgraad,pH,"7,9","7,88","7,84","7,8","7,84","7,85","7,87","7,84","7,79","7,84","7,83","7,91","7,85"
Verzadigingsindex,SI,"0,45","0,46","0,46","0,47","0,53","0,55","0,53","0,54","0,58","0,47","0,53","0,52","60,5"
Geleidingsvermogen 20°C,mS/m,"59,4","59,8","58,7","58,5","56,5","56,5","57,4",60,"61,9",65,"66,2","69,9",241
Waterstofcarbonaat,mg/l HCO3,222,229,224,241,250,255,251,246,248,245,236,231,"78,8"
Chloride,mg/l Cl,"79,9","80,1","75,4","71,3","65,4","66,1","69,7","75,1","82,3","89,2","99,2",108,37
Sulfaat,mg/l SO4,39,37,39,36,30,28,29,34,36,41,46,52,41
Natrium,mg/l Na,44,44,40,38,36,35,34,39,44,46,48,54,81
Calcium,mg/l Ca,76,75,78,75,81,80,81,87,80,76,86,90,11
Magnesium,mg/l Mg,10,10,11,10,10,10,10,10,10,10,12,12,"2,44"
Totale hardheid,mmol/l,"2,31","2,29","2,38","2,3","2,46","2,42","2,44","2,59","2,42","2,31","2,63","2,73","<0,03"
Ammonium,mg/l NH4,"<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","<0,03","2,1"
Nitraat,mg/l NO3,"3,4","2,8","1,9","1,7","1,8","1,9","1,1","1,9","1,8","2,3","2,1","3,3",<10
IJzer,μg/l Fe,-,<10,<10,<10,<10,<10,<5,<5,<5,<5,<5,<5,6
Aluminium,μg/l Al,-,-,7,-,6,-,-,6,-,-,-,5,"0,15"
Fluoride,mg/l F,"0,14","0,15","0,15","0,15","0,17","0,16","0,15","0,14","0,14","0,14","0,12","0,13",2
Kleurintensiteit (Pt/Co-schaal),mg/l Pt,3,4,<2,2,<2,2,2,2,2,<2,<2,<2,<1
Bacteriën van de coligroep,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Escherichia coli,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Enterococcen,KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Clostridium perf. (incl sporen),KVD/100 ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
